topology,scenario,timestep,n_infected
erdos_renyi,C_cluster,13.7000,28
erdos_renyi,C_cluster,13.8000,27
erdos_renyi,C_cluster,13.9000,28
erdos_renyi,C_cluster,14.0000,30
erdos_renyi,C_cluster,14.1000,31
erdos_renyi,C_cluster,14.2000,28
erdos_renyi,C_cluster,14.3000,32
erdos_renyi,C_cluster,14.4000,29
erdos_renyi,C_cluster,14.5000,27
erdos_renyi,C_cluster,14.6000,28
erdos_renyi,C_cluster,14.7000,27
erdos_renyi,C_cluster,14.8000,25
erdos_renyi,C_cluster,14.9000,26
erdos_renyi,C_cluster,15.0000,27
erdos_renyi,C_cluster,15.1000,26
erdos_renyi,C_cluster,15.2000,26
erdos_renyi,C_cluster,15.3000,24
erdos_renyi,C_cluster,15.4000,25
erdos_renyi,C_cluster,15.5000,23
erdos_renyi,C_cluster,15.6000,25
erdos_renyi,C_cluster,15.7000,27
erdos_renyi,C_cluster,15.8000,29
erdos_renyi,C_cluster,15.9000,28
erdos_renyi,C_cluster,16.0000,27
erdos_renyi,C_cluster,16.1000,29
erdos_renyi,C_cluster,16.2000,29
erdos_renyi,C_cluster,16.3000,29
erdos_renyi,C_cluster,16.4000,29
erdos_renyi,C_cluster,16.5000,27
erdos_renyi,C_cluster,16.6000,29
erdos_renyi,C_cluster,16.7000,30
erdos_renyi,C_cluster,16.8000,30
erdos_renyi,C_cluster,16.9000,31
erdos_renyi,C_cluster,17.0000,30
erdos_renyi,C_cluster,17.1000,28
erdos_renyi,C_cluster,17.2000,29
erdos_renyi,C_cluster,17.3000,28
erdos_renyi,C_cluster,17.4000,29
erdos_renyi,C_cluster,17.5000,28
erdos_renyi,C_cluster,17.6000,30
erdos_renyi,C_cluster,17.7000,29
erdos_renyi,C_cluster,17.8000,29
erdos_renyi,C_cluster,17.9000,28
erdos_renyi,C_cluster,18.0000,24
erdos_renyi,C_cluster,18.1000,24
erdos_renyi,C_cluster,18.2000,25
erdos_renyi,C_cluster,18.3000,25
erdos_renyi,C_cluster,18.4000,28
erdos_renyi,C_cluster,18.5000,26
erdos_renyi,C_cluster,18.6000,27
erdos_renyi,C_cluster,18.7000,26
erdos_renyi,C_cluster,18.8000,26
erdos_renyi,C_cluster,18.9000,28
erdos_renyi,C_cluster,19.0000,27
erdos_renyi,C_cluster,19.1000,25
erdos_renyi,C_cluster,19.2000,26
erdos_renyi,C_cluster,19.3000,26
erdos_renyi,C_cluster,19.4000,26
erdos_renyi,C_cluster,19.5000,28
erdos_renyi,C_cluster,19.6000,27
erdos_renyi,C_cluster,19.7000,28
erdos_renyi,C_cluster,19.8000,29
erdos_renyi,C_cluster,19.9000,26
erdos_renyi,C_cluster,20.0000,28
barabasi_albert,A_random,0.0000,60
barabasi_albert,A_random,0.1000,39
barabasi_albert,A_random,0.2000,23
barabasi_albert,A_random,0.3000,2
barabasi_albert,A_random,0.4000,0
barabasi_albert,A_random,0.5000,0
barabasi_albert,A_random,0.6000,15
barabasi_albert,A_random,0.7000,25
barabasi_albert,A_random,0.8000,27
barabasi_albert,A_random,0.9000,28
barabasi_albert,A_random,1.0000,33
barabasi_albert,A_random,1.1000,30
barabasi_albert,A_random,1.2000,30
barabasi_albert,A_random,1.3000,29
barabasi_albert,A_random,1.4000,28
barabasi_albert,A_random,1.5000,29
barabasi_albert,A_random,1.6000,28
barabasi_albert,A_random,1.7000,26
barabasi_albert,A_random,1.8000,26
barabasi_albert,A_random,1.9000,26
barabasi_albert,A_random,2.0000,25
barabasi_albert,A_random,2.1000,26
barabasi_albert,A_random,2.2000,25
barabasi_albert,A_random,2.3000,23
barabasi_albert,A_random,2.4000,22
barabasi_albert,A_random,2.5000,23
barabasi_albert,A_random,2.6000,23
barabasi_albert,A_random,2.7000,27
barabasi_albert,A_random,2.8000,29
barabasi_albert,A_random,2.9000,28
barabasi_albert,A_random,3.0000,26
barabasi_albert,A_random,3.1000,27
barabasi_albert,A_random,3.2000,25
barabasi_albert,A_random,3.3000,25
barabasi_albert,A_random,3.4000,29
barabasi_albert,A_random,3.5000,29
barabasi_albert,A_random,3.6000,26
barabasi_albert,A_random,3.7000,29
barabasi_albert,A_random,3.8000,26
barabasi_albert,A_random,3.9000,25
barabasi_albert,A_random,4.0000,27
barabasi_albert,A_random,4.1000,30
barabasi_albert,A_random,4.2000,29
barabasi_albert,A_random,4.3000,31
barabasi_albert,A_random,4.4000,30
barabasi_albert,A_random,4.5000,26
barabasi_albert,A_random,4.6000,28
barabasi_albert,A_random,4.7000,29
barabasi_albert,A_random,4.8000,30
barabasi_albert,A_random,4.9000,27
barabasi_albert,A_random,5.0000,27
barabasi_albert,A_random,5.1000,26
barabasi_albert,A_random,5.2000,26
barabasi_albert,A_random,5.3000,24
barabasi_albert,A_random,5.4000,24
barabasi_albert,A_random,5.5000,26
barabasi_albert,A_random,5.6000,27
barabasi_albert,A_random,5.7000,29
barabasi_albert,A_random,5.8000,28
barabasi_albert,A_random,5.9000,29
barabasi_albert,A_random,6.0000,28
barabasi_albert,A_random,6.1000,25
barabasi_albert,A_random,6.2000,25
barabasi_albert,A_random,6.3000,27
barabasi_albert,A_random,6.4000,28
barabasi_albert,A_random,6.5000,26
barabasi_albert,A_random,6.6000,27
barabasi_albert,A_random,6.7000,25
barabasi_albert,A_random,6.8000,27
barabasi_albert,A_random,6.9000,27
barabasi_albert,A_random,7.0000,28
barabasi_albert,A_random,7.1000,28
barabasi_albert,A_random,7.2000,27
barabasi_albert,A_random,7.3000,26
barabasi_albert,A_random,7.4000,24
barabasi_albert,A_random,7.5000,26
barabasi_albert,A_random,7.6000,26
barabasi_albert,A_random,7.7000,26
barabasi_albert,A_random,7.8000,27
barabasi_albert,A_random,7.9000,27
barabasi_albert,A_random,8.0000,28
barabasi_albert,A_random,8.1000,29
barabasi_albert,A_random,8.2000,27
barabasi_albert,A_random,8.3000,26
barabasi_albert,A_random,8.4000,26
barabasi_albert,A_random,8.5000,27
barabasi_albert,A_random,8.6000,26
barabasi_albert,A_random,8.7000,25
barabasi_albert,A_random,8.8000,28
barabasi_albert,A_random,8.9000,25
barabasi_albert,A_random,9.0000,28
barabasi_albert,A_random,9.1000,30
barabasi_albert,A_random,9.2000,29
barabasi_albert,A_random,9.3000,26
barabasi_albert,A_random,9.4000,27
barabasi_albert,A_random,9.5000,27
barabasi_albert,A_random,9.6000,26
