Pe_start,M,K_eff,F,c_function
1,182,1.10324675,-0.05044768,0.0
1,183,1.10324675,-0.05044768,0.0
1,184,1.10324675,-0.05044768,0.0
1,185,1.10324675,-0.05044768,0.0
1,186,1.10324675,-0.05044768,0.0
1,187,1.10324675,-0.05044768,0.0
1,188,1.10324675,-0.05044768,0.0
1,189,1.10324675,-0.05044768,0.0
1,190,1.10324675,-0.05044768,0.0
1,191,1.10324675,-0.05044768,0.0
1,192,1.10324675,-0.05044768,0.0
1,193,1.10324675,-0.05044768,0.0
1,194,1.10324675,-0.05044768,0.0
1,195,1.10324675,-0.05044768,0.0
1,196,1.10324675,-0.05044768,0.0
1,197,1.10324675,-0.05044768,0.0
1,198,1.10324675,-0.05044768,0.0
1,199,1.10324675,-0.05044768,0.0
1,200,1.10324675,-0.05044768,0.0
5,2,1.07309308,-0.03594177,
5,3,1.07378942,-0.03626617,-0.00097321
5,4,1.07379012,-0.0362665,-1.31e-06
5,5,1.07379012,-0.0362665,-0.0
5,6,1.07379012,-0.0362665,-0.0
5,7,1.07379012,-0.0362665,0.0
5,8,1.07379012,-0.0362665,0.0
5,9,1.07379012,-0.0362665,0.0
5,10,1.07379012,-0.0362665,0.0
5,11,1.07379012,-0.0362665,0.0
5,12,1.07379012,-0.0362665,0.0
5,13,1.07379012,-0.0362665,0.0
5,14,1.07379012,-0.0362665,0.0
5,15,1.07379012,-0.0362665,0.0
5,16,1.07379012,-0.0362665,0.0
5,17,1.07379012,-0.0362665,0.0
5,18,1.07379012,-0.0362665,0.0
5,19,1.07379012,-0.0362665,0.0
5,20,1.07379012,-0.0362665,0.0
5,21,1.07379012,-0.0362665,0.0
5,22,1.07379012,-0.0362665,0.0
5,23,1.07379012,-0.0362665,0.0
5,24,1.07379012,-0.0362665,0.0
5,25,1.07379012,-0.0362665,0.0
5,26,1.07379012,-0.0362665,0.0
5,27,1.07379012,-0.0362665,0.0
5,28,1.07379012,-0.0362665,0.0
5,29,1.07379012,-0.0362665,0.0
5,30,1.07379012,-0.0362665,0.0
5,31,1.07379012,-0.0362665,0.0
5,32,1.07379012,-0.0362665,0.0
5,33,1.07379012,-0.0362665,0.0
5,34,1.07379012,-0.0362665,0.0
5,35,1.07379012,-0.0362665,0.0
5,36,1.07379012,-0.0362665,0.0
5,37,1.07379012,-0.0362665,0.0
5,38,1.07379012,-0.0362665,0.0
5,39,1.07379012,-0.0362665,0.0
5,40,1.07379012,-0.0362665,0.0
5,41,1.07379012,-0.0362665,0.0
5,42,1.07379012,-0.0362665,0.0
5,43,1.07379012,-0.0362665,0.0
5,44,1.07379012,-0.0362665,0.0
5,45,1.07379012,-0.0362665,0.0
5,46,1.07379012,-0.0362665,0.0
5,47,1.07379012,-0.0362665,0.0
5,48,1.07379012,-0.0362665,0.0
5,49,1.07379012,-0.0362665,0.0
5,50,1.07379012,-0.0362665,0.0
5,51,1.07379012,-0.0362665,0.0
5,52,1.07379012,-0.0362665,0.0
5,53,1.07379012,-0.0362665,0.0
5,54,1.07379012,-0.0362665,0.0
5,55,1.07379012,-0.0362665,0.0
5,56,1.07379012,-0.0362665,0.0
5,57,1.07379012,-0.0362665,0.0
5,58,1.07379012,-0.0362665,0.0
5,59,1.07379012,-0.0362665,0.0
5,60,1.07379012,-0.0362665,0.0
5,61,1.07379012,-0.0362665,0.0
5,62,1.07379012,-0.0362665,0.0
5,63,1.07379012,-0.0362665,0.0
5,64,1.07379012,-0.0362665,0.0
5,65,1.07379012,-0.0362665,0.0
5,66,1.07379012,-0.0362665,0.0
5,67,1.07379012,-0.0362665,0.0
5,68,1.07379012,-0.0362665,0.0
5,69,1.07379012,-0.0362665,0.0
5,70,1.07379012,-0.0362665,0.0
5,71,1.07379012,-0.0362665,0.0
5,72,1.07379012,-0.0362665,0.0
5,73,1.07379012,-0.0362665,0.0
5,74,1.07379012,-0.0362665,0.0
5,75,1.07379012,-0.0362665,0.0
5,76,1.07379012,-0.0362665,0.0
5,77,1.07379012,-0.0362665,0.0
5,78,1.07379012,-0.0362665,0.0
5,79,1.07379012,-0.0362665,0.0
5,80,1.07379012,-0.0362665,0.0
5,81,1.07379012,-0.0362665,0.0
5,82,1.07379012,-0.0362665,0.0
5,83,1.07379012,-0.0362665,0.0
5,84,1.07379012,-0.0362665,0.0
5,85,1.07379012,-0.0362665,0.0
5,86,1.07379012,-0.0362665,0.0
5,87,1.07379012,-0.0362665,0.0
5,88,1.07379012,-0.0362665,0.0
5,89,1.07379012,-0.0362665,0.0
5,90,1.07379012,-0.0362665,0.0
5,91,1.07379012,-0.0362665,0.0
5,92,1.07379012,-0.0362665,0.0
5,93,1.07379012,-0.0362665,0.0
5,94,1.07379012,-0.0362665,0.0
5,95,1.07379012,-0.0362665,0.0
5,96,1.07379012,-0.0362665,0.0
5,97,1.07379012,-0.0362665,0.0
5,98,1.07379012,-0.0362665,0.0
5,99,1.07379012,-0.0362665,0.0
5,100,1.07379012,-0.0362665,0.0
5,101,1.07379012,-0.0362665,0.0
5,102,1.07379012,-0.0362665,0.0
5,103,1.07379012,-0.0362665,0.0
5,104,1.07379012,-0.0362665,0.0
5,105,1.07379012,-0.0362665,0.0
5,106,1.07379012,-0.0362665,0.0
5,107,1.07379012,-0.0362665,0.0
5,108,1.07379012,-0.0362665,0.0
5,109,1.07379012,-0.0362665,0.0
5,110,1.07379012,-0.0362665,0.0
5,111,1.07379012,-0.0362665,0.0
5,112,1.07379012,-0.0362665,0.0
5,113,1.07379012,-0.0362665,0.0
5,114,1.07379012,-0.0362665,0.0
5,115,1.07379012,-0.0362665,0.0
5,116,1.07379012,-0.0362665,0.0
5,117,1.07379012,-0.0362665,0.0
5,118,1.07379012,-0.0362665,0.0
5,119,1.07379012,-0.0362665,0.0
5,120,1.07379012,-0.0362665,0.0
5,121,1.07379012,-0.0362665,0.0
